id,nombre,grupo_muscular_primario,grupo_muscular_secundario,tipo,nivel_dificultad,equipo_requerido,series_recomendadas,repeticiones_recomendadas,descanso_segundos,fuente_cientifica,notas
1,Press de banca,Pectoral,Tríceps / Deltoides anterior,fuerza,intermedio,barra,3-4,6-10,120,Schoenfeld 2010,Mantener espalda apoyada en banco
2,Sentadilla,Cuádriceps,Glúteos / Isquiotibiales,fuerza,intermedio,barra,,8-12,90,Escamilla 2001,Rodillas no sobrepasen punta del pie
3,Peso muerto,Isquiotibiales,Glúteos / Erector espinal,fuerza,avanzado,barra,3-5,4-8,180,Escamilla 2000,Espalda neutra en todo momento
4,Dominadas,Dorsal ancho,Bíceps / Romboides,hipertrofia,intermedio,barra fija,3-4,6-12,90,,Agarre supino activa más el bíceps
5,Press militar,Deltoides,Tríceps / Trapecio superior,fuerza,intermedio,barra,3-4,6-10,90,Saeterbakken 2013,
6,Remo con barra,Dorsal ancho,Bíceps / Romboides,hipertrofia,intermedio,barra,3-4,8-12,90,Fenwick 2009,Codos pegados al cuerpo
7,curl de bíceps,Bíceps,,hipertrofia,principiante,mancuernas,3,10-15,60,Oliveira 2009,
8,Extensión de tríceps,Tríceps,NULL,hipertrofia,principiante,mancuernas,3,10-15,60,Boeckh-Behrens 2003,Mantener codos fijos
9,Zancadas,Cuádriceps,Glúteos / Isquiotibiales,resistencia,principiante,peso corporal,3,12-16,60,,Paso largo para mayor activación de glúteo
10,Plancha,Core,Hombros / Glúteos,resistencia,principiante,peso corporal,3-4,30-60s,45,McGill 2010,
11,Hip thrust,Glúteos,Isquiotibiales / Core,hipertrofia,intermedio,barra,3-4,10-15,90,Contreras 2011,Apoyo escapular en banco
12,Face pull,Deltoides posterior,Romboides / Manguito rotador,hipertrofia,principiante,polea,3,15-20,,Cressey 2012,Importante para salud del hombro
13,,Cuádriceps,Glúteos,fuerza,avanzado,máquina,4,6-10,120,Escamilla 2001,Cuidado con el peso en principiantes
14,Press inclinado con mancuernas,Pectoral superior,Tríceps / Deltoides anterior,hipertrofia,intermedio,mancuernas,3-4,8-12,90,Barnett 1995,Ángulo de 30-45 grados
15,Elevaciones laterales,Deltoides lateral,Trapecio superior,hipertrofia,principiante,mancuernas,3,12-15,60,,No elevar sobre 90 grados
